FINCA;GRUPO;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12
OLGA;COSECHA;14283038.221127376;11370071.5810809;14432812.343504025;13669176.011349883;12825612.029296389;13086715.80470533;15704666.920472134;15189032.523652766;14894745.983999157;17676918.31757479;14226452.526631592;11947642.18510438;3587242.695578401;1806093.4830278468;4846097.967679989;2171297.650714759;3221204.2253279383;3790117.1021560803;3944290.481112268;3814786.8212506576;2938850.1574515486;3623770.9773482527;3573030.970025922;2908793.540225355;6946178.192323536;5121575.360419069;7493712.437957225;6157192.112444526;6237397.4781724755;6560024.9508970305;7637549.741995857;7386784.579363961;6931918.820181889;8279577.928936587;6918659.235150776;5774696.566435668;24816459.10902931;18297740.424527816;26772622.74914124;21997665.774509165;22284213.732796803;23436857.85775844;27286507.143580258;26390603.924267385;24765514.961632594;29580267.22385963;24718142.73180829;20631132.291765403
DON SAID;COSECHA;151145669.02412802;148596334.17756802;151529168.049824;148056862.2112;118875753.17664;102863539.08864;130190990.02371201;137711896.807488;148780027.773728;169307382.63888;135464229.365792;108675498.5024;37960844.79932994;23603973.716972865;50878870.718567856;23518280.606266797;29856125.192852963;29790886.002734084;32697992.595291007;34586898.68841613;29355465.915174283;34708039.51430733;34022387.93884838;26458324.004602723;73505701.92317809;66934259.67860803;78676004.66927391;66691258.01314934;57812081.1222219;51562775.03301711;63314947.54400647;66972541.80925794;69241266.39687632;79300794.5909439;65879448.14631372;52526516.808471955;262612215.74663603;239134567.5731489;281084043.43766576;238266400.83061615;206543959.49171486;184217200.1243912;226203930.16300946;239271337.30516207;247376760.0857786;283316216.7441312;235366065.4509541;187660339.31547466
ASUNTINA;COSECHA;64801960.75743392;77091264.97105262;71423641.61713107;52335980.62862746;43947191.03048295;39516019.93202688;53855323.846207485;65354353.71883315;77105800.03031655;79268028.62535477;58014559.647074305;46507484.035584;16275273.984943148;12245660.044415897;23981879.362608664;8313375.414321688;11037514.398168793;11444455.980290005;13525981.944062054;16414009.706656557;15213578.855453692;16249958.075474136;14570590.802125448;11322792.14919079;31514721.144361965;34725262.753512606;37084126.00482483;23574404.693894334;21372555.000116933;19808336.987117574;26191113.56067777;31783362.863487847;35884542.57289889;37127841.43061219;28213847.979603942;22478628.35302196;112591955.88673903;124062187.76898111;132489646.98456457;84223760.73684348;76357260.42876868;70768812.89943446;93572419.3509473;113551726.28897756;128203921.45866913;132645828.1314411;100798998.42880368;80308904.53779675
PORLAMAR;COSECHA;145074889.704976;123380869.831952;134784115.991312;118501158.52416;115737723.11936;108542203.59424;149539983.927552;185466371.253248;185865840.5632;176919097.74054402;124486789.902336;100960969.13408;42239139.659858614;24533826.00220092;50647757.85223558;23563513.60021024;33697505.20365217;35777203.99720639;43539169.86388189;53999282.532657534;44107421.153837375;43345206.191974334;36244831.30874918;28618570.165535167;72808963.21411121;57494442.27073524;72077369.36298694;55220538.05474271;58085473.249154836;56096953.73079521;75049867.07873036;93080299.62658148;89390606.82941243;85616734.93856987;62476381.1647488;50367566.92576042;260122992.57894585;205409138.10488817;257509243.2065345;197285210.17911294;207520701.572167;200416361.3222416;268129020.87016425;332545953.41248703;319363868.54644984;305881038.8710882;223208002.375834;179947106.2253756
EL MORRO;COSECHA;12175891.433184;17387317.776576;14658165.747680001;11069597.43712;13378089.70624;14794070.19472;18215170.529888;14911163.403552;9975061.511104;11756110.383328;11425773.966208;11891314.44368;3058024.275341986;2761910.608888427;4921764.764143153;1758364.2854272665;3359961.2236922304;4284593.57506223;4574813.595009631;3744998.870257582;1968157.8406230665;2410004.439023239;2869629.246036867;2895079.8913018047;5921423.035904051;7832005.073430022;7610718.989945659;4986228.721554122;6506080.396464659;7415876.607314353;8858466.82934771;7251650.275829784;4642329.362016311;5506368.831447926;5556623.22859958;5747471.478007427;21155338.74443004;27981233.458894446;27190649.501768813;17814190.44410139;23244131.32639689;26494540.377096586;31648450.954245336;25907812.549639367;16585548.71374338;19672483.653799165;19852026.440844446;20533865.81298923
LA PERLA;COSECHA;19866316.234328;16411233.169112;15871126.2542;15558576.184672;12761352.213088;13542215.79104;18618002.304799996;18580525.144160002;16852193.114176;17031198.910944004;14257520.57824;11988220.81808;4989505.5027038;2606863.207836187;5329039.888742713;2471421.8245631307;3205065.113134584;3922037.0058203875;4675986.421107822;4666573.880955267;3325069.82262094;3491398.3995481525;3580833.83657803;2918672.8840860054;9661457.90918426;7392334.06171976;8240504.579761832;7008260.226189695;6206146.414702718;6788355.062139632;9054373.41776037;9036147.391062304;7842902.10353297;7977133.5745883;6933768.361039767;5794309.582031926;34517279.646216065;26410430.43866795;29440670.722704545;25038258.235424828;22172563.740925305;24252607.85900002;32348362.14366819;32283246.41617757;28020165.04032991;28499730.885080453;24772122.7758578;20701203.28419793
ARACATACA;COSECHA;70693284.660044;55875882.354764;69383136.842572;70806789.414656;70516077.009664;70201029.70368001;91602621.7472;94672810.95296;98871082.720512;101037644.724736;84307314.627072;72644828.58752;20582635.1468687;11110710.900955403;26072065.599017806;14079666.107393406;20531040.424250484;23139354.807200424;26670473.029878654;27564371.00841931;23462883.078866024;24754238.517357606;24546414.917993847;20592028.205813248;35478950.028946966;26037688.79849813;37103437.18904596;32995365.261420604;35390014.54656256;36281407.45937922;45972751.939850464;47513592.62838814;47551212.50621823;48895305.01620178;42311444.6741671;36241166.235568635;126754869.83585967;93024282.05421753;132558639.63063575;117881820.78347;126437131.98047705;129621791.97025965;164245846.7169291;169750774.58976746;169885178.30559626;174687188.2582954;151165174.21923295;129478023.02890188
BOCATOMA;COSECHA;4217659.230668;36445009.957003996;34012044.583788;41677071.407744;47357551.889856;16202814.0528;22052764.686528;28333501.341312;39739248.836608;58841291.69248;50230791.934912;41179559.57728;1059282.1382549233;5789153.964672966;11420206.693695536;6620247.420997927;11894040.292216763;4692587.77840136;5538640.855979783;7116073.215881923;7840865.351173637;12062473.85851732;12615666.1259294;10025646.48588618;2051147.1101003403;16416419.516355837;17659516.07155785;18773167.828731988;23031093.88117168;8122042.691787969;10724779.334372776;13779249.630381277;18494390.384790722;27560293.66967266;24428418.248249054;19903463.596752692;7328088.479023264;58650583.438032806;63091767.34904138;67070486.657473914;82282686.06324443;29017444.52298933;38316184.876880564;49228824.187575206;66074504.57257236;98464059.22066997;87274876.30909045;71108669.65991887
JOYA;COSECHA;41648976.383912005;31323291.840584002;35291123.928584;41659148.28288;45924095.18688;46319111.47152;60664773.330048;60190396.839552;55351447.426272005;53159847.365856;43038148.108512;35915201.71344;10460308.514088187;4975588.135644788;11849682.506571826;6617400.39943069;11534021.855833087;13414737.445567595;15236202.664866718;15117061.094695132;10921274.532551289;10897776.896616973;10809204.599418556;8743976.855131453;20254879.039852675;14109374.64676013;18323631.46134507;18765094.472814165;22333970.094502576;23218547.074071947;29502709.369223353;29272008.89904186;25760207.025394615;24899198.55082324;20930465.99757261;17359022.709603723;72364163.93785287;50408254.622988924;65464437.8965009;67041643.15512486;79792087.13721566;82952395.99115954;105403685.36413808;104579466.833289;92032928.98421791;88956822.81329621;74777818.70550317;62018201.278175175
ESMERALDA;COSECHA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
