ID;FINCA;GRUPO;LABOR;MAESTRA;TARIFA;REF;PROMEDIADO;PRESTACIONES;FACTOR
100002;CIÉNAGA;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;MARÍA;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;REMANSO;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;PIEDECUESTA;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;NÁUTICA;COSECHA;DESPIÑATE X CONTRATO     ;CESAR;178.1264;RACIMO CORTADO;G05;0.3887;1
100002;LAS LINAS;COSECHA;DESPIÑATE X CONTRATO     ;LINAS;178.093616;RACIMO CORTADO;G04;0.3887;1
100002;DON ALÍ;COSECHA;DESPIÑATE X CONTRATO     ;ORG NORTE;178.093616;RACIMO CORTADO;G04;0.3887;1
100002;DR4 DON ALÍ;COSECHA;DESPIÑATE X CONTRATO     ;ORG NORTE;178.093616;RACIMO CORTADO;G04;0.3887;1
100002;DON CARLOS;COSECHA;DESPIÑATE X CONTRATO     ;ORG NORTE;178.093616;RACIMO CORTADO;G04;0.3887;1
100002;EVA NORTE;COSECHA;DESPIÑATE X CONTRATO     ;ORG NORTE;178.093616;RACIMO CORTADO;G05;0.3887;1
100002;DON PEDRO;COSECHA;DESPIÑATE X CONTRATO     ;ORG NORTE;178.093616;RACIMO CORTADO;G04;0.3887;1
100002;LA VELA;COSECHA;DESPIÑATE X CONTRATO     ;ORG NORTE;178.093616;RACIMO CORTADO;G04;0.3887;1
100002;ESPERANZA;COSECHA;DESPIÑATE X CONTRATO     ;ORG NORTE;178.093616;RACIMO CORTADO;G04;0.3887;1
100002;LINA MARGARITA;COSECHA;DESPIÑATE X CONTRATO     ;PLAT;0;RACIMO CORTADO;G04;0.3887;1
100002;DON MARCE;COSECHA;DESPIÑATE X CONTRATO     ;PLAT;0;RACIMO CORTADO;G04;0.3887;1
100003;ENANO;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;EVA;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;SAMI;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;VEGA;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;FEDERICA;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;NEERLANDIA;COSECHA;PRE CALIBRACION X CONTRATO;SG;145.954795;RACIMO CORTADO;G04;0.3887;1
100003;SAN ANTONIO;COSECHA;PRE CALIBRACION X CONTRATO;SG;145.954795;RACIMO CORTADO;G04;0.3887;1
100003;MRS;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;DON FUAD;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;EUFEMIA;COSECHA;PRE CALIBRACION X CONTRATO;EUF;145.9516734;RACIMO CORTADO;G04;0.3887;1
100003;OLGA;COSECHA;PRE CALIBRACION X CONTRATO;EUF;145.9516734;RACIMO CORTADO;G04;0.3887;1
100003;DON SAID;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;ASUNTINA;COSECHA;PRE CALIBRACION X CONTRATO;CONT02;109.28;RACIMO CORTADO;G04;0.3887;1
100003;PORLAMAR;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G05;0.3887;1
100003;EL MORRO;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;LA PERLA;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;ARACATACA;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G05;0.3887;1
100003;BOCATOMA;COSECHA;PRE CALIBRACION X CONTRATO;REG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;JOYA;COSECHA;PRE CALIBRACION X CONTRATO;CONT01;128.1;RACIMO CORTADO;G04;0.3887;1
100003;ESMERALDA;COSECHA;PRE CALIBRACION X CONTRATO;CONT01;128.1;RACIMO CORTADO;G04;0.3887;1
100003;NARANJOS;COSECHA;PRE CALIBRACION X CONTRATO;CONT01;128.1;RACIMO CORTADO;G04;0.3887;1
100003;YUNQUE;COSECHA;PRE CALIBRACION X CONTRATO;CONT01;128.1;RACIMO CORTADO;G04;0.3887;1
100003;DONAMA;COSECHA;PRE CALIBRACION X CONTRATO;CONT01;128.1;RACIMO CORTADO;G04;0.3887;1
100003;BURDEOS;COSECHA;PRE CALIBRACION X CONTRATO;CONT01;128.1;RACIMO CORTADO;G04;0.3887;1
100003;DON MARCE SUR 2;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;LAS MARGARITAS;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;LA CECILIA;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;JOSEFINA;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;SAN ALFREDO;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;VICTORIA;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;CIRCASIA;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;CIÉNAGA;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;MARÍA;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;REMANSO;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
