FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
LA CECILIA;787389.44;787389.44;984236.7999999999;787389.44;787389.44;984236.7999999999;804506.6017391304;1005633.2521739131;804506.6017391304;804506.6017391304;1005633.2521739131;804506.6017391304;10347324.271304348
JOSEFINA;1058054.5599999998;1058054.5599999998;1322568.1999999997;1058054.5599999998;1058054.5599999998;1322568.1999999997;1081055.7460869565;1351319.6826086955;1081055.7460869565;1081055.7460869565;1351319.6826086955;1081055.7460869565;13904216.989565218
SAN ALFREDO;627450.96;627450.96;784313.7;627450.96;627450.96;784313.7;641091.1982608696;801363.9978260869;641091.1982608696;641091.1982608696;801363.9978260869;641091.1982608696;8245524.028695654
VICTORIA;2460592.0;2460592.0;3075740.0;2460592.0;2460592.0;3075740.0;2514083.1304347827;3142603.9130434785;2514083.1304347827;2514083.1304347827;3142603.9130434785;2514083.1304347827;32335388.34782608
CIRCASIA;1513264.0799999998;1513264.0799999998;1891580.0999999999;1513264.0799999998;1513264.0799999998;1891580.0999999999;1546161.1252173912;1932701.4065217392;1546161.1252173912;1546161.1252173912;1932701.4065217392;1546161.1252173912;19886263.833913043
CIENAGA;639753.9199999999;639753.9199999999;799692.3999999999;639753.9199999999;639753.9199999999;799692.3999999999;653661.6139130435;817077.0173913044;653661.6139130435;653661.6139130435;817077.0173913044;653661.6139130435;8407200.970434783
MARIA;578239.12;578239.12;722798.9;578239.12;578239.12;722798.9;590809.5356521739;738511.9195652175;590809.5356521739;590809.5356521739;738511.9195652175;590809.5356521739;7598816.26173913
REMANSO;4748942.56;4748942.56;5936178.199999999;4748942.56;4748942.56;5936178.199999999;4852180.441739131;6065225.5521739125;4852180.441739131;4852180.441739131;6065225.5521739125;4852180.441739131;62407299.511304334
PIEDECUESTA;2042291.3599999999;2042291.3599999999;2552864.1999999997;2042291.3599999999;2042291.3599999999;2552864.1999999997;2086688.9982608696;2608361.247826087;2086688.9982608696;2086688.9982608696;2608361.247826087;2086688.9982608696;26838372.328695655
NAUTICA;5327181.68;5327181.68;6658977.1;5327181.68;5327181.68;6274509.6;4185948.4121739133;5232435.515217392;4185948.4121739133;4185948.4121739133;5232435.515217392;4185948.4121739133;61450878.09913044
LAS LINAS;3666282.0799999996;3666282.0799999996;4582852.6;3666282.0799999996;3604767.28;4229142.499999999;3456864.304347826;4399645.47826087;3708272.6173913046;3708272.6173913046;4635340.771739131;3708272.6173913046;47032277.02652174
DON ALI;2411380.1599999997;2411380.1599999997;3014225.1999999997;2411380.1599999997;2411380.1599999997;2937331.6999999997;2350667.726956522;2938334.658695652;2350667.726956522;2350667.726956522;2938334.658695652;2350667.726956522;30876417.7652174
DR4 DON ALI;233756.24;233756.24;292195.3;233756.24;233756.24;292195.3;238837.89739130437;298547.37173913047;238837.89739130437;238837.89739130437;298547.37173913047;238837.89739130437;3071861.8930434785
DON CARLOS;725874.6399999999;725874.6399999999;907343.2999999998;725874.6399999999;725874.6399999999;907343.2999999998;741654.5234782608;927068.154347826;741654.5234782608;741654.5234782608;927068.154347826;741654.5234782608;9538939.562608695
EVA NORTE;5683967.52;5634755.68;6828142.799999999;5511726.08;5560937.92;6951172.4;5681827.874782609;7102284.8434782615;5681827.874782609;5681827.874782609;7102284.8434782615;5681827.874782609;73102583.58608694
DON PEDRO;2743560.0799999996;2743560.0799999996;3429450.0999999996;2743560.0799999996;2743560.0799999996;3429450.0999999996;2803202.6904347823;3504003.363043478;2803202.6904347823;2803202.6904347823;3504003.363043478;2803202.6904347823;36053958.00782609
LA VELA;1894655.8399999999;1894655.8399999999;2368319.8;1894655.8399999999;1894655.8399999999;2337562.4;1885562.347826087;2356952.9347826084;1885562.347826087;1885562.347826087;2356952.9347826084;1885562.347826087;24540660.820869565
ESPERANZA;1845443.9999999998;1857746.96;2322183.7;1857746.96;1857746.96;2183775.4;1684435.6973913044;2105544.6217391305;1684435.6973913044;1684435.6973913044;2105544.6217391305;1684435.6973913044;22873476.01304348
LINA MARGARITA;1107266.4;1107266.4;1384083.0;1107266.4;1181084.16;1707035.6999999997;1407886.5530434784;1759858.191304348;1407886.5530434784;1407886.5530434784;1759858.191304348;1407886.5530434784;16745264.654782612
DON MARCE;1697808.48;2103806.1599999997;3152633.5;2792771.92;2792771.92;3490964.9;2853484.3530434784;3566855.441304348;2853484.3530434784;2853484.3530434784;3566855.441304348;2853484.3530434784;34578405.17478261
ENANO;433999.38;433999.38;433999.38;433999.38;433999.38;2479999.38;433999.38;433999.38;5083999.38;733999.38;433999.38;433999.38;12203992.56
EVA;314999.55;314999.55;314999.55;314999.55;314999.55;1799999.55;314999.55;314999.55;3689999.5500000003;614999.55;314999.55;314999.55;8939994.6
SAMI;429332.72;445666.02999999997;450332.69;450332.69;450332.69;2573332.69;450332.69;450332.69;5275332.69;750332.69;450332.69;450332.69;12626325.65
VEGA;174999.75;174999.75;174999.75;174999.75;174999.75;999999.75;174999.75;174999.75;2049999.7500000002;474999.75;174999.75;174999.75;5099997.0
FEDERICA;506332.61;496999.29;492332.63;506332.61;506332.61;2893332.61;506332.61;506332.61;5931332.61;806332.61;506332.61;506332.61;14164658.02
NEERLANDIA;335999.52;335999.52;335999.52;335999.52;335999.52;1919999.52;335999.52;335999.52;3935999.5200000005;635999.52;335999.52;335999.52;9515994.24
SAN ANTONIO;366332.81;366332.81;366332.81;366332.81;366332.81;2093332.81;366332.81;366332.81;4291332.8100000005;666332.81;366332.81;366332.81;10347993.72
MRS;207666.37;172666.41999999998;144666.46;144666.46;144666.46;826666.46;144666.46;144666.46;1694666.4600000002;444666.45999999996;144666.46;144666.46;4358997.39
DON FUAD;452666.01999999996;452666.01999999996;452666.01999999996;452666.01999999996;452666.01999999996;2586666.02;452666.01999999996;452666.01999999996;5302666.0200000005;752666.02;452666.01999999996;452666.01999999996;12715992.239999998
EUFEMIA;713998.98;713998.98;713998.98;713998.98;699999.0;3906665.69;683665.69;683665.69;8008665.69;983665.69;683665.69;683665.69;19189654.750000004
OLGA;123666.48999999999;123666.48999999999;123666.48999999999;123666.48999999999;123666.48999999999;706666.49;123666.48999999999;123666.48999999999;1448666.49;423666.49;123666.48999999999;123666.48999999999;3691997.880000001
DON SAID;1434997.95;1434997.95;1434997.95;1434997.95;1434997.95;8199997.95;1434997.95;1434997.95;16809997.95;1734997.95;1434997.95;1434997.95;39659975.400000006
ASUNTINA;648665.74;648665.74;648665.74;648665.74;648665.74;3706665.7399999998;648665.74;648665.74;7598665.74;948665.74;648665.74;648665.74;18091988.879999995
PORLAMAR;1276331.51;1276331.51;1276331.51;1276331.51;1276331.51;7293331.51;1276331.51;1276331.51;14951331.510000002;1576331.51;1276331.51;1276331.51;35307978.12
EL MORRO;125999.81999999999;125999.81999999999;125999.81999999999;125999.81999999999;125999.81999999999;719999.82;125999.81999999999;125999.81999999999;1475999.82;425999.82;125999.81999999999;125999.81999999999;3755997.8399999994
LA PERLA;144666.46;144666.46;144666.46;144666.46;144666.46;826666.46;144666.46;144666.46;1694666.4600000002;444666.45999999996;144666.46;144666.46;4267997.52
ARACATACA;720998.97;720998.97;720998.97;720998.97;720998.97;4119998.97;720998.97;720998.97;8445998.97;1020998.97;720998.97;720998.97;20075987.64
BOCATOMA;340666.18;340666.18;340666.18;340666.18;340666.18;1946666.18;340666.18;340666.18;3990666.18;640666.1799999999;340666.18;340666.18;9643994.16
JOYA;590332.49;590332.49;590332.49;590332.49;590332.49;3373332.4899999998;590332.49;590332.49;6915332.49;890332.49;590332.49;590332.49;16491989.88
ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300000.0;0.0;0.0;300000.0
NARANJOS;256666.3;256666.3;256666.3;256666.3;256666.3;1466666.3;256666.3;256666.3;3006666.3000000003;556666.3;256666.3;256666.3;7339995.599999999
YUNQUE;160999.77;160999.77;160999.77;160999.77;160999.77;919999.77;160999.77;160999.77;1885999.77;460999.77;160999.77;160999.77;4715997.239999999
DONAMA;352332.83;352332.83;352332.83;352332.83;352332.83;2013332.83;352332.83;352332.83;4127332.83;652332.8300000001;352332.83;352332.83;9963993.96
BURDEOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300000.0;0.0;0.0;300000.0
DON MARCE SUR 2;170333.09;170333.09;170333.09;170333.09;170333.09;973333.09;170333.09;170333.09;1995333.09;470333.08999999997;170333.09;170333.09;4971997.08
LAS MARGARITAS;286999.58999999997;286999.58999999997;286999.58999999997;286999.58999999997;286999.58999999997;1639999.59;286999.58999999997;286999.58999999997;3361999.5900000003;586999.59;286999.58999999997;286999.58999999997;8171995.08
LA CECILIA;149333.12;149333.12;149333.12;149333.12;149333.12;853333.12;149333.12;149333.12;1749333.12;449333.12;149333.12;149333.12;4395997.44
JOSEFINA;200666.38;200666.38;200666.38;200666.38;200666.38;1146666.38;200666.38;200666.38;2350666.3800000004;500666.38;200666.38;200666.38;5803996.56
SAN ALFREDO;118999.83;118999.83;118999.83;118999.83;118999.83;679999.83;118999.83;118999.83;1393999.83;418999.83;118999.83;118999.83;3563997.9600000004
VICTORIA;466666.0;466666.0;466666.0;466666.0;466666.0;2666666.0;466666.0;466666.0;5466666.0;766666.0;466666.0;466666.0;13099992.0
CIRCASIA;286999.58999999997;286999.58999999997;286999.58999999997;286999.58999999997;286999.58999999997;1639999.59;286999.58999999997;286999.58999999997;3361999.5900000003;586999.59;286999.58999999997;286999.58999999997;8171995.08
CIENAGA;121333.16;121333.16;121333.16;121333.16;121333.16;693333.16;121333.16;121333.16;1421333.1600000001;421333.16000000003;121333.16;121333.16;3627997.9200000004
MARIA;109666.51;109666.51;109666.51;109666.51;109666.51;626666.51;109666.51;109666.51;1284666.51;409666.51;109666.51;109666.51;3307998.119999999
REMANSO;900665.38;900665.38;900665.38;900665.38;900665.38;5146665.38;900665.38;900665.38;10550665.38;1200665.38;900665.38;900665.38;25003984.56
PIEDECUESTA;387332.77999999997;387332.77999999997;387332.77999999997;387332.77999999997;387332.77999999997;2213332.78;387332.77999999997;387332.77999999997;4537332.78;687332.78;387332.77999999997;387332.77999999997;10923993.359999998
NAUTICA;1010331.89;1010331.89;1010331.89;1010331.89;1010331.89;5439998.64;776998.89;776998.89;9101998.89;1076998.8900000001;776998.89;776998.89;23778651.430000003
LAS LINAS;695332.34;695332.34;695332.34;695332.34;683665.69;3666665.75;641665.75;653332.4;8063332.350000001;988332.35;688332.35;688332.35;18854988.350000005
DON ALI;457332.68;457332.68;457332.68;457332.68;457332.68;2546666.03;436332.70999999996;436332.70999999996;5111332.71;736332.71;436332.70999999996;436332.70999999996;12426325.690000001
DR4 DON ALI;44333.27;44333.27;44333.27;44333.27;44333.27;253333.27;44333.27;44333.27;519333.27;344333.27;44333.27;44333.27;1515999.2400000002
DON CARLOS;137666.47;137666.47;137666.47;137666.47;137666.47;786666.47;137666.47;137666.47;1612666.4700000002;437666.47;137666.47;137666.47;4075997.6400000006
EVA NORTE;1077998.46;1068665.14;1035998.52;1045331.84;1054665.16;6026665.16;1054665.16;1054665.16;12354665.16;1354665.16;1054665.16;1054665.16;29237315.240000002
DON PEDRO;520332.58999999997;520332.58999999997;520332.58999999997;520332.58999999997;520332.58999999997;2973332.59;520332.58999999997;520332.58999999997;6095332.590000001;820332.59;520332.58999999997;520332.58999999997;14571991.079999998
LA VELA;359332.82;359332.82;359332.82;359332.82;359332.82;2026666.16;349999.5;349999.5;4099999.5000000005;649999.5;349999.5;349999.5;9973327.26
ESPERANZA;349999.5;352332.83;352332.83;352332.83;352332.83;1893332.86;312666.22;312666.22;3662666.22;612666.22;312666.22;312666.22;9178661.000000002
LINA MARGARITA;209999.69999999998;209999.69999999998;209999.69999999998;209999.69999999998;223999.68;1479999.63;261332.96;261332.96;3061332.96;561332.96;261332.96;261332.96;7211995.87
DON MARCE;321999.54;398999.43;478332.64999999997;529665.91;529665.91;3026665.91;529665.91;529665.91;6204665.91;829665.91;529665.91;529665.91;14438324.81
ENANO;11441770.212765956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11690504.347826086;23132274.56059204
EVA;8304510.638297872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8485043.47826087;16789554.11655874
SAMI;11318740.425531914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12130469.565217389;23449209.990749303
VEGA;4613617.021276595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4713913.04347826;9327530.064754855
FEDERICA;13348731.914893616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13638921.739130434;26987653.65402405
NEERLANDIA;8858144.680851063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9050713.04347826;17908857.724329323
SAN ANTONIO;9657838.29787234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9867791.304347824;19525629.602220163
MRS;5474825.531914894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3896834.7826086953;9371660.314523589
DON FUAD;11933889.361702127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12193321.739130434;24127211.10083256
EUFEMIA;18823557.44680851;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18415686.95652174;37239244.40333025
OLGA;3260289.3617021274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3331165.2173913037;6591454.579093431
DON SAID;37831659.57446808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38654086.956521735;76485746.53098983
ASUNTINA;17101140.425531913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17472904.347826086;34574044.773358
PORLAMAR;33648646.80851064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34380139.13043478;68028785.93894541
EL MORRO;3321804.255319149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3394017.391304347;6715821.646623496
LA PERLA;3813923.404255319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3896834.7826086953;7710758.186864015
ARACATACA;19008102.127659574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19421321.739130434;38429423.86679001
BOCATOMA;8981174.468085106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9176417.391304346;18157591.859389454
JOYA;15563268.085106382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15901599.999999998;31464868.08510638
ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NARANJOS;6766638.29787234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6913739.130434781;13680377.428307122
YUNQUE;4244527.659574468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4336799.999999999;8581327.659574468
DONAMA;9288748.936170213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9490678.260869564;18779427.197039776
BURDEOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DON MARCE SUR 2;4490587.234042553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4588208.695652173;9078795.929694727
LAS MARGARITAS;7566331.914893616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7730817.391304347;15297149.306197964
LA CECILIA;3936953.191489361;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4022539.1304347822;7959492.3219241435
JOSEFINA;5290280.85106383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5405286.956521738;10695567.807585567
SAN ALFREDO;3137259.574468085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3205460.869565217;6342720.444033302
VICTORIA;12302978.723404255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12570434.782608693;24873413.506012946
CIRCASIA;7566331.914893616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7730817.391304347;15297149.306197964
CIENAGA;3198774.468085106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3268313.0434782603;6467087.511563366
MARIA;2891200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2954052.173913043;5845252.173913043
REMANSO;23744748.93617021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24260939.130434778;48005688.06660499
PIEDECUESTA;10211472.34042553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10433460.869565217;20644933.209990747
NAUTICA;26635948.93617021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20929773.913043477;47565722.84921369
LAS LINAS;18331438.29787234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18541391.304347824;36872829.60222016
DON ALI;12056919.14893617;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11753356.521739129;23810275.6706753
DR4 DON ALI;1168782.9787234042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1194191.304347826;2362974.28307123
DON CARLOS;3629378.723404255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3708278.2608695645;7337656.984273819
EVA NORTE;28419880.85106383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28409182.60869565;56829063.459759474
DON PEDRO;13717821.276595743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14016034.782608693;27733856.059204437
LA VELA;9473293.617021276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9427826.08695652;18901119.703977793
ESPERANZA;9227234.04255319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8422191.304347824;17649425.346901014
LINA MARGARITA;5536340.425531914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7039443.478260868;12575783.903792784
DON MARCE;8489055.319148935;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14267443.478260867;22756498.797409803
ENANO;284187.54000000004;284187.54000000004;284187.54000000004;284187.54000000004;284187.54000000004;284187.54000000004;284187.54000000004;284187.54000000004;284187.54000000004;284187.54000000004;284187.54000000004;284187.54000000004;3410250.4800000004
EVA;206265.15000000002;206265.15000000002;206265.15000000002;206265.15000000002;206265.15000000002;206265.15000000002;206265.15000000002;206265.15000000002;206265.15000000002;206265.15000000002;206265.15000000002;206265.15000000002;2475181.8
SAMI;281131.76;291826.99;294882.77;294882.77;294882.77;294882.77;294882.77;294882.77;294882.77;294882.77;294882.77;294882.77;3521786.45
VEGA;114591.75000000001;114591.75000000001;114591.75000000001;114591.75000000001;114591.75000000001;114591.75000000001;114591.75000000001;114591.75000000001;114591.75000000001;114591.75000000001;114591.75000000001;114591.75000000001;1375101.0000000002
FEDERICA;331552.13;325440.57;322384.79000000004;331552.13;331552.13;331552.13;331552.13;331552.13;331552.13;331552.13;331552.13;331552.13;3963346.659999999
NEERLANDIA;220016.16;220016.16;220016.16;220016.16;220016.16;220016.16;220016.16;220016.16;220016.16;220016.16;220016.16;220016.16;2640193.92
SAN ANTONIO;239878.73;239878.73;239878.73;239878.73;239878.73;239878.73;239878.73;239878.73;239878.73;239878.73;239878.73;239878.73;2878544.7600000002
MRS;135982.21000000002;113063.86;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;1196337.87
DON FUAD;296410.66000000003;296410.66000000003;296410.66000000003;296410.66000000003;296410.66000000003;296410.66000000003;296410.66000000003;296410.66000000003;296410.66000000003;296410.66000000003;296410.66000000003;296410.66000000003;3556927.9200000013
EUFEMIA;467534.34;467534.34;467534.34;467534.34;458367.00000000006;447671.77;447671.77;447671.77;447671.77;447671.77;447671.77;447671.77;5462206.75
OLGA;80978.17;80978.17;80978.17;80978.17;80978.17;80978.17;80978.17;80978.17;80978.17;80978.17;80978.17;80978.17;971738.0400000002
DON SAID;939652.3500000001;939652.3500000001;939652.3500000001;939652.3500000001;939652.3500000001;939652.3500000001;939652.3500000001;939652.3500000001;939652.3500000001;939652.3500000001;939652.3500000001;939652.3500000001;11275828.199999997
ASUNTINA;424753.42000000004;424753.42000000004;424753.42000000004;424753.42000000004;424753.42000000004;424753.42000000004;424753.42000000004;424753.42000000004;424753.42000000004;424753.42000000004;424753.42000000004;424753.42000000004;5097041.04
PORLAMAR;835755.8300000001;835755.8300000001;835755.8300000001;835755.8300000001;835755.8300000001;835755.8300000001;835755.8300000001;835755.8300000001;835755.8300000001;835755.8300000001;835755.8300000001;835755.8300000001;10029069.96
EL MORRO;82506.06000000001;82506.06000000001;82506.06000000001;82506.06000000001;82506.06000000001;82506.06000000001;82506.06000000001;82506.06000000001;82506.06000000001;82506.06000000001;82506.06000000001;82506.06000000001;990072.7200000003
LA PERLA;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;94729.18000000001;1136750.1600000004
ARACATACA;472118.01;472118.01;472118.01;472118.01;472118.01;472118.01;472118.01;472118.01;472118.01;472118.01;472118.01;472118.01;5665416.119999998
BOCATOMA;223071.94;223071.94;223071.94;223071.94;223071.94;223071.94;223071.94;223071.94;223071.94;223071.94;223071.94;223071.94;2676863.28
JOYA;386556.17000000004;386556.17000000004;386556.17000000004;386556.17000000004;386556.17000000004;386556.17000000004;386556.17000000004;386556.17000000004;386556.17000000004;386556.17000000004;386556.17000000004;386556.17000000004;4638674.04
ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NARANJOS;168067.90000000002;168067.90000000002;168067.90000000002;168067.90000000002;168067.90000000002;168067.90000000002;168067.90000000002;168067.90000000002;168067.90000000002;168067.90000000002;168067.90000000002;168067.90000000002;2016814.7999999998
YUNQUE;105424.41;105424.41;105424.41;105424.41;105424.41;105424.41;105424.41;105424.41;105424.41;105424.41;105424.41;105424.41;1265092.92
DONAMA;230711.39;230711.39;230711.39;230711.39;230711.39;230711.39;230711.39;230711.39;230711.39;230711.39;230711.39;230711.39;2768536.680000001
BURDEOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DON MARCE SUR 2;111535.97;111535.97;111535.97;111535.97;111535.97;111535.97;111535.97;111535.97;111535.97;111535.97;111535.97;111535.97;1338431.64
LAS MARGARITAS;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;2255165.64
LA CECILIA;97784.96;97784.96;97784.96;97784.96;97784.96;97784.96;97784.96;97784.96;97784.96;97784.96;97784.96;97784.96;1173419.5199999998
JOSEFINA;131398.54;131398.54;131398.54;131398.54;131398.54;131398.54;131398.54;131398.54;131398.54;131398.54;131398.54;131398.54;1576782.4800000002
SAN ALFREDO;77922.39;77922.39;77922.39;77922.39;77922.39;77922.39;77922.39;77922.39;77922.39;77922.39;77922.39;77922.39;935068.68
VICTORIA;305578.0;305578.0;305578.0;305578.0;305578.0;305578.0;305578.0;305578.0;305578.0;305578.0;305578.0;305578.0;3666936.0
CIRCASIA;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;187930.47;2255165.64
CIENAGA;79450.28;79450.28;79450.28;79450.28;79450.28;79450.28;79450.28;79450.28;79450.28;79450.28;79450.28;79450.28;953403.3600000002
MARIA;71810.83;71810.83;71810.83;71810.83;71810.83;71810.83;71810.83;71810.83;71810.83;71810.83;71810.83;71810.83;861729.9599999998
REMANSO;589765.54;589765.54;589765.54;589765.54;589765.54;589765.54;589765.54;589765.54;589765.54;589765.54;589765.54;589765.54;7077186.48
PIEDECUESTA;253629.74000000002;253629.74000000002;253629.74000000002;253629.74000000002;253629.74000000002;253629.74000000002;253629.74000000002;253629.74000000002;253629.74000000002;253629.74000000002;253629.74000000002;253629.74000000002;3043556.880000001
NAUTICA;661576.37;661576.37;661576.37;661576.37;661576.37;623379.12;508787.37000000005;508787.37000000005;508787.37000000005;508787.37000000005;508787.37000000005;508787.37000000005;6983985.19
LAS LINAS;455311.22000000003;455311.22000000003;455311.22000000003;455311.22000000003;447671.77;420169.75;420169.75;427809.2;450727.55000000005;450727.55000000005;450727.55000000005;450727.55000000005;5339975.55
DON ALI;299466.44;299466.44;299466.44;299466.44;299466.44;291826.99;285715.43;285715.43;285715.43;285715.43;285715.43;285715.43;3503451.7700000005
DR4 DON ALI;29029.910000000003;29029.910000000003;29029.910000000003;29029.910000000003;29029.910000000003;29029.910000000003;29029.910000000003;29029.910000000003;29029.910000000003;29029.910000000003;29029.910000000003;29029.910000000003;348358.92000000004
DON CARLOS;90145.51000000001;90145.51000000001;90145.51000000001;90145.51000000001;90145.51000000001;90145.51000000001;90145.51000000001;90145.51000000001;90145.51000000001;90145.51000000001;90145.51000000001;90145.51000000001;1081746.12
EVA NORTE;705885.18;699773.62;678383.16;684494.7200000001;690606.28;690606.28;690606.28;690606.28;690606.28;690606.28;690606.28;690606.28;8293386.920000002
DON PEDRO;340719.47000000003;340719.47000000003;340719.47000000003;340719.47000000003;340719.47000000003;340719.47000000003;340719.47000000003;340719.47000000003;340719.47000000003;340719.47000000003;340719.47000000003;340719.47000000003;4088633.640000001
LA VELA;235295.06000000003;235295.06000000003;235295.06000000003;235295.06000000003;235295.06000000003;232239.28000000003;229183.50000000003;229183.50000000003;229183.50000000003;229183.50000000003;229183.50000000003;229183.50000000003;2783815.58
ESPERANZA;229183.50000000003;230711.39;230711.39;230711.39;230711.39;216960.38;204737.26;204737.26;204737.26;204737.26;204737.26;204737.26;2597413.0
LINA MARGARITA;137510.1;137510.1;137510.1;137510.1;146677.44;169595.79;171123.68000000002;171123.68000000002;171123.68000000002;171123.68000000002;171123.68000000002;171123.68000000002;1893055.71
DON MARCE;210848.82;261269.19000000003;313217.45;346831.03;346831.03;346831.03;346831.03;346831.03;346831.03;346831.03;346831.03;346831.03;3906814.7300000014
ENANO;0.0;0.0;0.0;0.0;2790000.0;0.0;0.0;8556000.0;5100000.0;0.0;0.0;27342000.0;43788000.0
EVA;0.0;0.0;0.0;0.0;2025000.0;0.0;0.0;6210000.0;5100000.0;0.0;0.0;19845000.0;33180000.0
SAMI;0.0;0.0;0.0;0.0;2895000.0;0.0;0.0;8878000.0;5100000.0;0.0;0.0;28371000.0;45244000.0
VEGA;0.0;0.0;0.0;0.0;1125000.0;0.0;0.0;3450000.0;5100000.0;0.0;0.0;11025000.0;20700000.0
FEDERICA;0.0;0.0;0.0;0.0;3255000.0;0.0;0.0;9982000.0;5100000.0;0.0;0.0;31899000.0;50236000.0
NEERLANDIA;0.0;0.0;0.0;0.0;2160000.0;0.0;0.0;6624000.0;5100000.0;0.0;0.0;21168000.0;35052000.0
SAN ANTONIO;0.0;0.0;0.0;0.0;2355000.0;0.0;0.0;7222000.0;5100000.0;0.0;0.0;23079000.0;37756000.0
MRS;0.0;0.0;0.0;0.0;930000.0;0.0;0.0;2852000.0;5100000.0;0.0;0.0;9114000.0;17996000.0
