FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
CIRCASIA;0.0;0.0;1755000.0;11685000.0;0.0;0.0;0.0;11685000.0;0.0;0.0;0.0;11685000.0;36810000.0
CIENAGA;0.0;0.0;1755000.0;4940000.0;0.0;0.0;0.0;4940000.0;0.0;0.0;0.0;4940000.0;16575000.0
MARIA;0.0;0.0;1755000.0;4465000.0;0.0;0.0;0.0;4465000.0;0.0;0.0;0.0;4465000.0;15150000.0
REMANSO;0.0;0.0;1755000.0;36670000.0;0.0;0.0;0.0;36670000.0;0.0;0.0;0.0;36670000.0;111765000.0
PIEDECUESTA;0.0;0.0;1755000.0;15770000.0;0.0;0.0;0.0;15770000.0;0.0;0.0;0.0;15770000.0;49065000.0
NAUTICA;0.0;0.0;1755000.0;41135000.0;0.0;0.0;0.0;31635000.0;0.0;0.0;0.0;31635000.0;106160000.0
LAS LINAS;0.0;0.0;1755000.0;28310000.0;0.0;0.0;0.0;26600000.0;0.0;0.0;0.0;28025000.0;84690000.0
DON ALI;0.0;0.0;1755000.0;18620000.0;0.0;0.0;0.0;17765000.0;0.0;0.0;0.0;17765000.0;55905000.0
DR4 DON ALI;0.0;0.0;1755000.0;1805000.0;0.0;0.0;0.0;1805000.0;0.0;0.0;0.0;1805000.0;7170000.0
DON CARLOS;0.0;0.0;1755000.0;5605000.0;0.0;0.0;0.0;5605000.0;0.0;0.0;0.0;5605000.0;18570000.0
EVA NORTE;0.0;0.0;1755000.0;42560000.0;0.0;0.0;0.0;42940000.0;0.0;0.0;0.0;42940000.0;130195000.0
DON PEDRO;0.0;0.0;1755000.0;21185000.0;0.0;0.0;0.0;21185000.0;0.0;0.0;0.0;21185000.0;65310000.0
LA VELA;0.0;0.0;1755000.0;14630000.0;0.0;0.0;0.0;14250000.0;0.0;0.0;0.0;14250000.0;44885000.0
ESPERANZA;0.0;0.0;1755000.0;14345000.0;0.0;0.0;0.0;12730000.0;0.0;0.0;0.0;12730000.0;41560000.0
LINA MARGARITA;0.0;0.0;1755000.0;8550000.0;0.0;0.0;0.0;10640000.0;0.0;0.0;0.0;10640000.0;31585000.0
DON MARCE;0.0;0.0;1755000.0;21565000.0;0.0;0.0;0.0;21565000.0;0.0;0.0;0.0;21565000.0;66450000.0
ENANO;2288350.56;2288350.56;2860438.2;2288350.56;2288350.56;2860438.2;2338097.311304348;2922621.6391304354;2338097.311304348;2338097.311304348;2922621.6391304354;2338097.311304348;30071911.16347827
EVA;1660899.5999999999;1660899.5999999999;2076124.4999999998;1660899.5999999999;1660899.5999999999;2076124.4999999998;1697006.1130434782;2121257.6413043477;1697006.1130434782;1697006.1130434782;2121257.6413043477;1697006.1130434782;21826387.13478261
SAMI;2263744.6399999997;2349865.36;2968089.0999999996;2374471.28;2374471.28;2968089.0999999996;2426090.2208695654;3032612.7760869563;2426090.2208695654;2426090.2208695654;3032612.7760869563;2426090.2208695654;31068317.195652165
VEGA;922721.9999999999;922721.9999999999;1153402.4999999998;922721.9999999999;922721.9999999999;1153402.4999999998;942781.1739130435;1178476.4673913042;942781.1739130435;942781.1739130435;1178476.4673913042;942781.1739130435;12125770.630434781
FEDERICA;2669742.32;2620530.48;3244905.6999999993;2669742.32;2669742.32;3337177.9;2727780.196521739;3409725.245652174;2727780.196521739;2727780.196521739;3409725.245652174;2727780.196521739;34942412.317391306
NEERLANDIA;1771626.2399999998;1771626.2399999998;2214532.8;1771626.2399999998;1771626.2399999998;2214532.8;1810139.8539130434;2262674.8173913043;1810139.8539130434;1810139.8539130434;2262674.8173913043;1810139.8539130434;23281479.61043478
