FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL;DETALLE
NARANJOS;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;54404895.959999986;Transporte de personal
YUNQUE;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;56484063.959999986;Transporte de personal
DONAMA;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;103958400.0;Transporte de personal
BURDEOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
DON MARCE SUR 2;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
LAS MARGARITAS;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
LA CECILIA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
JOSEFINA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
SAN ALFREDO;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
VICTORIA;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0;Transporte de personal
CIRCASIA;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0;Transporte de personal
CIENAGA;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;600000.0;Transporte de personal
MARIA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
REMANSO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
PIEDECUESTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
NAUTICA;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;1429505280.0;Transporte de personal
LAS LINAS;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;10800000.0;Transporte de personal
DON ALI;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;409968000.0;Transporte de personal
DR4 DON ALI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
DON CARLOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
EVA NORTE;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;1769524224.0;Transporte de personal
DON PEDRO;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;295776000.0;Transporte de personal
LA VELA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
ESPERANZA;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;295776000.0;Transporte de personal
LINA MARGARITA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
DON MARCE;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0;Transporte de personal
ENANO;0.0;0.0;1755000.0;17670000.0;0.0;0.0;0.0;17670000.0;0.0;0.0;0.0;17670000.0;54765000.0;Dotaciones
EVA;0.0;0.0;1755000.0;12825000.0;0.0;0.0;0.0;12825000.0;0.0;0.0;0.0;12825000.0;40230000.0;Dotaciones
SAMI;0.0;0.0;1755000.0;18335000.0;0.0;0.0;0.0;18335000.0;0.0;0.0;0.0;18335000.0;56760000.0;Dotaciones
VEGA;0.0;0.0;1755000.0;7125000.0;0.0;0.0;0.0;7125000.0;0.0;0.0;0.0;7125000.0;23130000.0;Dotaciones
FEDERICA;0.0;0.0;1755000.0;20615000.0;0.0;0.0;0.0;20615000.0;0.0;0.0;0.0;20615000.0;63600000.0;Dotaciones
NEERLANDIA;0.0;0.0;1755000.0;13680000.0;0.0;0.0;0.0;13680000.0;0.0;0.0;0.0;13680000.0;42795000.0;Dotaciones
SAN ANTONIO;0.0;0.0;1755000.0;14915000.0;0.0;0.0;0.0;14915000.0;0.0;0.0;0.0;14915000.0;46500000.0;Dotaciones
MRS;0.0;0.0;1755000.0;5890000.0;0.0;0.0;0.0;5890000.0;0.0;0.0;0.0;5890000.0;19425000.0;Dotaciones
DON FUAD;0.0;0.0;1755000.0;18430000.0;0.0;0.0;0.0;18430000.0;0.0;0.0;0.0;18430000.0;57045000.0;Dotaciones
EUFEMIA;0.0;0.0;1755000.0;29070000.0;0.0;0.0;0.0;27835000.0;0.0;0.0;0.0;27835000.0;86495000.0;Dotaciones
OLGA;0.0;0.0;1755000.0;5035000.0;0.0;0.0;0.0;5035000.0;0.0;0.0;0.0;5035000.0;16860000.0;Dotaciones
DON SAID;0.0;0.0;1755000.0;58425000.0;0.0;0.0;0.0;58425000.0;0.0;0.0;0.0;58425000.0;177030000.0;Dotaciones
ASUNTINA;0.0;0.0;1755000.0;26410000.0;0.0;0.0;0.0;26410000.0;0.0;0.0;0.0;26410000.0;80985000.0;Dotaciones
PORLAMAR;0.0;0.0;1755000.0;51965000.0;0.0;0.0;0.0;51965000.0;0.0;0.0;0.0;51965000.0;157650000.0;Dotaciones
EL MORRO;0.0;0.0;1755000.0;5130000.0;0.0;0.0;0.0;5130000.0;0.0;0.0;0.0;5130000.0;17145000.0;Dotaciones
LA PERLA;0.0;0.0;1755000.0;5890000.0;0.0;0.0;0.0;5890000.0;0.0;0.0;0.0;5890000.0;19425000.0;Dotaciones
ARACATACA;0.0;0.0;1755000.0;29355000.0;0.0;0.0;0.0;29355000.0;0.0;0.0;0.0;29355000.0;89820000.0;Dotaciones
BOCATOMA;0.0;0.0;1755000.0;13870000.0;0.0;0.0;0.0;13870000.0;0.0;0.0;0.0;13870000.0;43365000.0;Dotaciones
JOYA;0.0;0.0;1755000.0;24035000.0;0.0;0.0;0.0;24035000.0;0.0;0.0;0.0;24035000.0;73860000.0;Dotaciones
ESMERALDA;0.0;0.0;1755000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1755000.0;Dotaciones
NARANJOS;0.0;0.0;1755000.0;10450000.0;0.0;0.0;0.0;10450000.0;0.0;0.0;0.0;10450000.0;33105000.0;Dotaciones
YUNQUE;0.0;0.0;1755000.0;6555000.0;0.0;0.0;0.0;6555000.0;0.0;0.0;0.0;6555000.0;21420000.0;Dotaciones
DONAMA;0.0;0.0;1755000.0;14345000.0;0.0;0.0;0.0;14345000.0;0.0;0.0;0.0;14345000.0;44790000.0;Dotaciones
BURDEOS;0.0;0.0;1755000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1755000.0;Dotaciones
DON MARCE SUR 2;0.0;0.0;1755000.0;6935000.0;0.0;0.0;0.0;6935000.0;0.0;0.0;0.0;6935000.0;22560000.0;Dotaciones
LAS MARGARITAS;0.0;0.0;1755000.0;11685000.0;0.0;0.0;0.0;11685000.0;0.0;0.0;0.0;11685000.0;36810000.0;Dotaciones
LA CECILIA;0.0;0.0;1755000.0;6080000.0;0.0;0.0;0.0;6080000.0;0.0;0.0;0.0;6080000.0;19995000.0;Dotaciones
JOSEFINA;0.0;0.0;1755000.0;8170000.0;0.0;0.0;0.0;8170000.0;0.0;0.0;0.0;8170000.0;26265000.0;Dotaciones
