ID,FINCA,MAESTRA,PROMEDIADO,PRESTACIONES,FACTOR
100009,PORLAMAR,REG SUR,G05,0.3887,1.0
100009,EL MORRO,REG SUR,G04,0.3887,1.0
100009,LA PERLA,REG SUR,G04,0.3887,1.0
100009,ARACATACA,REG SUR,G05,0.3887,1.0
100009,BOCATOMA,REG SUR,G04,0.3887,1.0
100009,JOYA,CONT01,G04,0.3887,1.0
100009,ESMERALDA,CONT01,G04,0.3887,1.0
100009,NARANJOS,CONT01,G04,0.3887,1.0
100009,YUNQUE,CONT01,G04,0.3887,1.0
100009,DONAMA,CONT01,G04,0.3887,1.0
100009,BURDEOS,CONT01,G04,0.3887,1.0
100009,DON MARCE SUR 2,CONT02,G04,0.3887,1.0
100009,LAS MARGARITAS,ORG SUR,G04,0.3887,1.0
100009,LA CECILIA,CONT02,G04,0.3887,1.0
100009,JOSEFINA,ORG SUR,G04,0.3887,1.0
100009,SAN ALFREDO,CONT02,G04,0.3887,1.0
100009,VICTORIA,ORG SUR,G04,0.3887,1.0
100009,CIRCASIA,ORG SUR,G04,0.3887,1.0
100009,CIÉNAGA,CONT02,G04,0.3887,1.0
100009,MARÍA,CONT02,G04,0.3887,1.0
100009,REMANSO,ORG SUR,G04,0.3887,1.0
100009,PIEDECUESTA,ORG SUR,G04,0.3887,1.0
100009,NÁUTICA,CESAR,G05,0.3887,1.0
100009,LAS LINAS,LINAS,G04,0.3887,0.0
100009,DON ALÍ,ORG NORTE,G04,0.3887,0.0
100009,DR4 DON ALÍ,ORG NORTE,G04,0.3887,0.0
100009,DON CARLOS,ORG NORTE,G04,0.3887,0.0
100009,EVA NORTE,ORG NORTE,G05,0.3887,0.0
100009,DON PEDRO,ORG NORTE,G04,0.3887,0.0
100009,LA VELA,ORG NORTE,G04,0.3887,0.0
100009,ESPERANZA,ORG NORTE,G04,0.3887,0.0
100009,LINA MARGARITA,PLAT,G04,0.3887,1.0
100009,DON MARCE,PLAT,G04,0.3887,1.0
100010,ENANO,REG SUR,G04,0.3887,0.0
100010,EVA,REG SUR,G04,0.3887,0.0
100010,SAMI,REG SUR,G04,0.3887,0.0
100010,VEGA,REG SUR,G04,0.3887,0.0
100010,FEDERICA,REG SUR,G04,0.3887,0.0
100010,NEERLANDIA,SG,G04,0.3887,0.0
100010,SAN ANTONIO,SG,G04,0.3887,0.0
100010,MRS,REG SUR,G04,0.3887,0.0
100010,DON FUAD,REG SUR,G04,0.3887,0.0
100010,EUFEMIA,EUF,G04,0.3887,0.0
100010,OLGA,EUF,G04,0.3887,0.0
100010,DON SAID,REG SUR,G04,0.3887,0.0
100010,ASUNTINA,REG SUR,G04,0.3887,0.0
100010,PORLAMAR,REG SUR,G05,0.3887,0.0
100010,EL MORRO,REG SUR,G04,0.3887,0.0
100010,LA PERLA,REG SUR,G04,0.3887,0.0
100010,ARACATACA,REG SUR,G05,0.3887,0.0
100010,BOCATOMA,REG SUR,G04,0.3887,0.0
100010,JOYA,REG SUR,G04,0.3887,0.0
100010,ESMERALDA,REG SUR,G04,0.3887,0.0
100010,NARANJOS,REG SUR,G04,0.3887,0.0
100010,YUNQUE,REG SUR,G04,0.3887,0.0
100010,DONAMA,REG SUR,G04,0.3887,0.0
100010,BURDEOS,REG SUR,G04,0.3887,0.0
100010,DON MARCE SUR 2,ORG SUR,G04,0.3887,0.0
100010,LAS MARGARITAS,ORG SUR,G04,0.3887,0.0
